account_id,risk_scoresent_count,received_count,connections,max_hop_depth,multi_hop_count,time_window_flag,avg_latitude,avg_longitude
ACCT00001,78,1,1,2,1,5,3,0,30.144933,9.583764
ACCT00815,86,1,1,2,1,5,3,0,27.78844,3.416722
ACCT00002,5,1,0,1,0,0,0,0,31.677462,120.301087
ACCT01858,224,1,3,4,1,5,9,0,32.402593,6.057141
ACCT00003,70,1,1,2,1,5,3,0,36.192679,-104.957927
ACCT01483,74,1,1,2,1,5,3,0,29.62686,-108.258414
ACCT00004,2,1,0,1,0,0,0,0,40.765142,-82.081584
ACCT00627,408,1,5,6,1,5,15,0,31.822299,-60.417747
ACCT00005,220,1,3,4,1,5,9,0,22.587809,-49.226144
ACCT00496,74,1,1,2,1,5,3,0,22.300596,-102.569353
ACCT00006,212,1,3,4,1,5,9,0,26.658921,-48.217102
ACCT01838,78,1,1,2,1,5,3,0,22.302917,13.310856
ACCT00007,4,1,0,1,0,0,0,0,29.770138,-114.875839
ACCT00250,228,1,3,4,1,5,9,0,28.1972,-109.443481
ACCT00008,82,1,1,2,1,5,3,0,23.217474,-101.6258
ACCT00301,159,1,2,3,1,5,6,0,32.469255,44.75412
ACCT00009,141,1,2,3,1,5,6,0,33.610522,47.871223
ACCT00015,159,1,2,3,1,5,6,0,33.891528,-32.829352
ACCT00010,78,1,1,2,1,5,3,0,27.243442,-108.205615
ACCT00443,76,1,1,2,1,5,3,0,26.702898,-113.177968
ACCT00011,232,1,3,4,1,5,9,0,26.767065,6.048127
ACCT00182,78,1,1,2,1,5,3,0,24.029962,7.111559
ACCT00012,6,1,0,1,0,0,0,0,35.520486,115.783118
ACCT00876,144,1,2,3,1,5,6,0,37.68154,-22.750309
ACCT00013,3,1,0,1,0,0,0,0,29.966322,118.485124
ACCT00498,159,1,2,3,1,5,6,0,30.890167,-26.674106
ACCT00014,4,1,0,1,0,0,0,0,28.546937,-87.672077
ACCT00877,150,1,2,3,1,5,6,0,28.860545,-96.424763
ACCT00112,450,1,5,6,1,5,15,0,30.887548,-100.278841
ACCT00016,72,1,1,2,1,5,3,0,22.22721,114.174168
ACCT02482,74,1,1,2,1,5,3,0,21.485177,16.606641
ACCT00017,84,1,1,2,1,5,3,0,27.417665,9.871463
ACCT00018,80,1,1,2,1,5,3,0,37.46989,2.422128
ACCT01665,78,1,1,2,1,5,3,0,31.525863,13.050612
ACCT00019,4,1,0,1,0,0,0,0,19.665178,-103.238946
ACCT01214,153,1,2,3,1,5,6,0,24.868785,-35.378676
ACCT00020,72,1,1,2,1,5,3,0,27.564685,-90.403653
ACCT02442,74,1,1,2,1,5,3,0,24.940461,12.627789
ACCT00021,150,1,2,3,1,5,6,0,27.147048,-27.824579
ACCT00471,74,1,1,2,1,5,3,0,34.772381,-105.097211
ACCT00022,153,1,2,3,1,5,6,0,28.382378,-36.117348
ACCT01140,216,1,3,4,1,5,9,0,29.206032,-51.501443
ACCT00023,84,1,1,2,1,5,3,0,23.689175,3.251157
ACCT00024,165,1,2,3,1,5,6,0,27.925247,-105.754327
ACCT01830,224,1,3,4,1,5,9,0,33.2513,-41.615858
ACCT00025,5,1,0,1,0,0,0,0,19.066151,-104.298315
ACCT00329,147,1,2,3,1,5,6,0,24.25591,-28.613432
ACCT00026,6,1,0,1,0,0,0,0,23.949391,-97.913511
ACCT02389,240,1,3,4,1,5,9,0,29.531147,-104.117977
ACCT00027,74,1,1,2,1,5,3,0,32.444928,-1.076119
ACCT02487,138,1,2,3,1,5,6,0,28.002696,-105.444075
ACCT00028,3,1,0,1,0,0,0,0,29.286841,-86.258172
ACCT01617,147,1,2,3,1,5,6,0,27.511364,-93.770706
ACCT00029,216,1,3,4,1,5,9,0,31.094145,0.073831
ACCT02406,159,1,2,3,1,5,6,0,34.274071,-30.093114
ACCT00030,3,1,0,1,0,0,0,0,26.758822,-79.276949
ACCT00955,228,1,3,4,1,5,9,0,29.317501,-101.499217
ACCT00031,3,1,0,1,0,0,0,0,23.708346,-113.690421
ACCT01962,72,1,1,2,1,5,3,0,27.164993,-114.092581
ACCT00032,5,1,0,1,0,0,0,0,30.96235,-113.884574
ACCT01534,208,1,3,4,1,5,9,0,31.675055,-51.211167
